,Product Name,Product Prices,Product Ratings,Product Description
0,"REDMI Note 11S (Horizon Blue, 128 GB)","₹14,860",4.2,8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Display108MP Rear Camera5000 mAh Battery1 Year Warranty
1,"POCO M2 Pro (Green and Greener, 64 GB)","₹10,380",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 5MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 720G Processor1 Year for Handset, 6 Months for Accessories"
2,"REDMI Note 10 (Shadow Black, 128 GB)","₹17,090",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.33 cm (6.43 inch) Full HD+ Display48MP + 8MP + 2MP + 2MP | 13MP Front Camera5000 mAh Li-Polymer BatteryQualcomm Snapdragon 678 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase
3,"vivo Y21 (Diamond Glow, 64 GB)","₹11,794",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.54 cm (6.51 inch) HD+ Display13MP + 2MP | 8MP Front Camera5000 mAh Lithium BatteryMediatek Helio P35 Processor1 Year Warranty for Handset and 6 Months for In-box Accessories
4,"SAMSUNG Galaxy A14 (Silver, 128 GB)","₹12,919",3.8,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera5000 mAh BatteryExynos 850, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories"
5,"POCO X4 Pro 5G (Laser Blue, 128 GB)","₹19,999",4.2,"6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Super AMOLED Display64MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 695 5G ProcessorOne Year for Handset, 6 Months for Accessories"
6,"SAMSUNG Galaxy A05s (Black, 128 GB)","₹12,890",4.8,6 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 2MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm SM6225 Snapdragon 680 4G (6 nm) Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
7,"REDMI Note 10 Pro (Dark Night, 128 GB)","₹19,999",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Super AMOLED Display64MP + 8MP + 5MP + 2MP | 16MP Front Camera5020 mAh Li-Polymer BatteryQualcomm Snapdragon 732G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
8,"SAMSUNG Galaxy M34 5G (Waterfall Blue, 128 GB)","₹16,382",4.2,6 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Display50MP Rear Camera6000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories
9,"POCO M2 Pro (Green and Greener, 128 GB)","₹19,999",4.4,"6 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 5MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 720G Processor1 Year for Handset, 6 Months for Accessories"
10,"SAMSUNG Galaxy M34 5G without charger (Midnight Blue, 128 GB)","₹19,495",4.2,8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Display50MP Rear Camera6000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories
11,"vivo Y100A (Pacific Blue, 128 GB)","₹19,955",4.3,8 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Full HD+ Display64MP + 2MP + 2MP | 16MP Front Camera4500 mAh BatterySnapdragon 695 Processor1 Year of Device & 6 Months for Inbox Accessories
12,"Nokia G42 5G (So Grey, 256 GB)","₹16,695",4.1,8 GB RAM | 256 GB ROM16.66 cm (6.56 inch) Display50MP Rear Camera5000 mAh Battery1 Year warranty
13,"Infinix Note 10 Pro (Nordic Secret, 256 GB)","₹16,999",4.2,8 GB RAM | 256 GB ROM | Expandable Upto 256 GB17.65 cm (6.95 inch) Full HD+ Display64MP + 8MP + 2MP + 2MP | 16MP Front Camera5000 mAh Li-ion Polymer BatteryMediaTek Helio G95 Processor33W Charger | 90Hz Refresh Rate1 Year on Handset and 6 Months on Accessories
14,"REDMI Note 11 (Space Black, 64 GB)","₹10,999",4.2,4 GB RAM | 64 GB ROM16.33 cm (6.43 inch) Display50MP Rear Camera | 13MP Front Camera5000 mAh Battery12 Months Warranty
15,"SAMSUNG Galaxy M34 5G without charger (Prism Silver, 128 GB)","₹19,370",4.2,8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Display50MP Rear Camera6000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories
16,"realme Narzo 20 Pro (Black Ninja, 64 GB)","₹16,999",4.4,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) Full HD+ Display48MP + 8MP + 2MP + 2MP | 16MP Front Camera4500 mAh Lithium-ion BatteryMediaTek Helio G95 Processor65W Super Dart ChargerBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
17,"realme Narzo 20 Pro (White Knight, 64 GB)","₹16,999",4.4,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) Full HD+ Display48MP + 8MP + 2MP + 2MP | 16MP Front Camera4500 mAh Lithium-ion BatteryMediaTek Helio G95 Processor65W Super Dart ChargerBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
18,"OPPO A78 (Mist Black, 128 GB)","₹15,899",4.3,8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Full HD+ AMOLED Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 680 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
19,"Motorola G40 Fusion (Dynamic Gray, 128 GB)","₹12,999",4.2,6 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display64MP + 8MP + 2MP | 16MP Front Camera6000 mAh BatteryQualcomm Snapdragon 732G Processor120Hz Refresh RateStock Android Experience1 Year on Handset and 6 Months on Accessories
20,"vivo Y56 5G (Black Engine, 128 GB)","₹15,400",4.2,4 GB RAM | 128 GB ROM16.71 cm (6.58 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryMediatek Dimensity 700 Processor1 Year Manufacturer Warranty for Handset and 6 Months Manufacturer Warranty for In-Box Accessories
21,"OPPO K10 (Black Carbon, 128 GB)","₹18,999",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.74 cm (6.59 inch) Full HD+ Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 680 Processor33W SUPERVOOC Charger | Dual Speaker | Super Adaptive Refresh RateAI Photo Suite | OPPO Glow Design with Dirt and Scratch Resistant1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
22,"REDMI 10 (Pacific Blue, 128 GB)","₹12,999",4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh Lithium Polymer BatteryQualcomm Snapdragon 680 Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
23,"SAMSUNG M32 5G (Sky blue, 128 GB)","₹17,999",4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display48MP + 8MP + 5MP + 2MP | 13MP Front Camera5000 mAh BatteryDimensity 720 5G Processor1 Year Warranty on Mobile Device and 6 months on Accessories
24,"realme 11 5G (Glory Black, 256 GB)","₹19,999",4.3,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
25,"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)","₹12,562",4.2,6 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer for handset and 6 month for accessories
26,"realme 11 5G (Glory Gold, 256 GB)","₹19,999",4.3,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
27,"Motorola g84 5G (Viva Magenta, 256 GB)","₹18,999",4.2,12 GB RAM | 256 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 Processor1 Year on Handset and 6 Months on Accessories
28,"Motorola g84 5G (Midnight Blue, 256 GB)","₹18,999",4.2,12 GB RAM | 256 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 Processor1 Year on Handset and 6 Months on Accessories
29,"REDMI 12 5G (Jade Black, 256 GB)","₹14,999",4.2,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
30,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹17,578",4.4,6 GB RAM | 128 GB ROM16.74 cm (6.59 inch) Display64MP Rear Camera | 16MP Front Camera5000 mAh Battery12 months
31,"REDMI 13c 5G (Startrail Green, 256 GB)","₹14,249",4.2,8 GB RAM | 256 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year
32,"REDMI 12 5G (Pastel Blue, 128 GB)","₹13,389",4.3,6 GB RAM | 128 GB ROM17.25 cm (6.79 inch) Display50MP Rear Camera5000 mAh Battery1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
33,"REDMI 13c 5G (Startrail Silver, 256 GB)","₹14,944",4.2,8 GB RAM | 256 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year
34,"REDMI 13c 5G (Starlight Black, 128 GB)","₹12,216",4.2,6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year
35,"REDMI 12 5G (Jade Black, 128 GB)","₹13,298",4.3,6 GB RAM | 128 GB ROM17.25 cm (6.79 inch) Full HD Display50MP Rear Camera5000 mAh Battery1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
36,"REDMI Note 12 5G (Matte Black, 128 GB)","₹15,499",3.9,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ AMOLED Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 4 Gen 1 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
37,"REDMI Note 13 5G (Arctic White, 256 GB)","₹19,801",4,8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display108MP Rear Camera5000 mAh Battery1 Year Brand Warranty
38,"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)","₹16,999",4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP + 2MP | 13MP Front Camera5000 mAh Lithium Ion BatterySEC S5E8535 (Exynos 1330) Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
39,"REDMI Note 12 5G (Sunrise Gold, 128 GB)","₹16,999",4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ AMOLED Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 4 Gen 1 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
40,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹18,925",4.4,8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories
41,"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)","₹18,499",4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1280 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
42,"IQOO Z7s 5G (Norway Blue, 128 GB)","₹15,689",4.3,6 GB RAM | 128 GB ROM16.21 cm (6.38 inch) Display64MP Rear Camera4500 mAh BatteryDomestic 1 Year on Handset and 6 Months on Accessories
